# BEAST v1.6.1, Build r3651
# Generated Thu Apr 21 17:38:40 NZST 2011 [seed=1303362947982]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	skyline
35000	-4464.028554632919	-92.78609753141951	-4371.242457101499	17.058312612936678	251.4590319818255	21.140088611414622	3.1820938694161103	7.8174666198212925	8.104657955269552	1.0	3.0	2.0	1.0	13.0	8.02516783411744	0.5856734720986522	0.6022721322363087	1.8120543956650377	0.0017004565381957034	-1233.773705957054	-1194.7588439425274	-1942.709907201917	-68.13873012439046
36000	-4473.826168941539	-95.00470397516781	-4378.821464966371	15.267835606071705	181.8698417437489	50.011504554461865	24.39729016185886	6.005342826859172	9.073868048501593	1.0	1.0	3.0	2.0	13.0	8.757397038175432	0.6141461963419815	0.45623117841575145	1.9296226252422657	0.0017263587289989223	-1237.4729366172453	-1198.7636511832018	-1942.5848771659241	-69.42886125897437
37000	-4468.989895823176	-99.8802172633459	-4369.10967855983	15.972553767291677	103.79011373072014	166.5438513624641	31.512002306337013	16.20668163812735	9.86177304698263	1.0	1.0	2.0	6.0	10.0	8.757397038175432	0.6569006440581597	0.512780811238613	1.8303185447032257	0.0017978349565605936	-1235.8683816280168	-1195.3220928857897	-1937.9192040460237	-72.57783681004986
38000	-4464.31956956158	-97.06672411317805	-4367.252845448402	18.251805510789517	291.29840524655776	78.10955077884886	11.660152568627204	5.918020367706165	1.9340025792455617	2.0	2.0	7.0	8.0	1.0	8.757397038175432	0.6569006440581597	0.512780811238613	1.8303185447032257	0.001549616830400176	-1233.8810681491225	-1196.3587573510558	-1937.0130199482237	-72.12401977918745
39000	-4466.634687753862	-98.01202677723762	-4368.6226609766245	18.385082372930153	91.80128829653265	5.480967472472001	10.522190232209947	2.745196933737285	10.87542925150408	4.0	2.0	4.0	6.0	4.0	8.757397038175432	0.6544100338773227	0.5926880381731073	1.7529019279495683	0.0014965783833797417	-1235.04260165477	-1193.8126072610771	-1939.7674520607773	-73.95621009542775
40000	-4468.838044748476	-99.69380726814143	-4369.144237480335	17.3991617450517	253.9060044755756	23.891448867834406	20.084245584731303	8.479486018564307	16.717190273326196	2.0	3.0	1.0	12.0	2.0	8.757397038175432	0.5617829317205943	0.5794703725925782	1.858746695686826	0.0018901452294028064	-1234.1591935938984	-1196.2519251532647	-1938.7331187331713	-73.23039629062373
41000	-4468.905668295803	-95.05165452548589	-4373.854013770317	15.688021732172176	216.04627555671925	79.15339137960481	22.525280394064502	4.655590965333284	3.1783033690813394	1.0	1.0	4.0	9.0	5.0	8.757397038175432	0.5461823798919261	0.58017499744547	1.8736426226626022	0.0018707500641348797	-1235.130988283887	-1196.392985337932	-1942.3300401484976	-69.98630339903931
42000	-4474.672975070094	-98.59309826476371	-4376.079876805331	16.404435888937225	855.0197897657036	71.65100266970715	39.83243545918454	11.975207737487574	2.266861048086185	1.0	1.0	6.0	5.0	7.0	8.603357762923292	0.5160878961627212	0.6864001227520785	1.7975119810851987	0.0018418650715581613	-1239.6284225374898	-1194.8433314207766	-1941.6081228470648	-69.80284231700567
43000	-4458.826759838733	-85.93990728064558	-4372.886852558087	15.447394260379783	123.17895495083118	66.49176974398847	6.880923797370449	2.7043124063307347	2.800471235030074	2.0	2.0	7.0	1.0	8.0	8.068119336011751	0.6217309354988206	0.7445514853322068	1.633717579168971	0.0018515081631288097	-1233.5557645050435	-1194.8241924077179	-1944.506895645326	-63.511349951652285
44000	-4457.969407149508	-91.71070597421458	-4366.258701175293	15.816860784965227	491.9522820877438	71.56395029594303	5.542935742243694	9.695793120969006	3.8929717515367326	1.0	3.0	5.0	4.0	7.0	8.068119336011751	0.5943656679328775	0.5358492711788868	1.8697850608882338	0.002019528999243494	-1232.8221877597182	-1193.8580846288842	-1939.5784287866913	-65.07673829251635
45000	-4456.9179877762435	-87.06722835925191	-4369.850759416991	16.137958656444432	320.968206238586	11.13936509905709	1.7405643330201606	5.9212300626661785	3.290901470445398	1.0	2.0	1.0	9.0	7.0	8.068119336011751	0.4945237378360552	0.7645364642945864	1.7409397978693564	0.0017545331590409557	-1236.3755136790917	-1190.6126512402923	-1942.862594497607	-63.02391876459523
46000	-4463.8431242247625	-88.76578349887752	-4375.077340725885	15.988005943897177	96.43430512678904	1.2422123282059012	1.5167465282559491	7.076489141488766	12.314355293843226	4.0	1.0	1.0	5.0	9.0	8.068119336011751	0.5462334702657202	0.5680330190470135	1.8857335106872641	0.0019850152297163012	-1235.5349755128204	-1196.9045212554172	-1942.6378439576476	-65.7894392387295
47000	-4462.05550329891	-91.34026135080481	-4370.715241948104	14.807674871257047	142.25219157493967	27.434811280638055	3.954585828257758	11.350333727489451	5.657857124185713	3.0	2.0	2.0	2.0	11.0	8.068119336011751	0.558467771239173	0.638821608322503	1.802710620438322	0.0021233527463672777	-1232.7900620878765	-1196.8789464208553	-1941.0462334393728	-66.99472733901445
48000	-4451.8016370762525	-85.81429328342736	-4365.987343792825	15.682316800197874	54.13314455726777	8.211940874410285	4.858115013219324	9.8132711145294	3.4218208896664146	5.0	5.0	2.0	1.0	7.0	11.12876473408297	0.58094730838077	0.5150086477048798	1.9040440439143482	0.0021590945079182377	-1234.6137107275554	-1190.7496068746002	-1940.6240261906698	-64.56207968191335
49000	-4458.357144921192	-91.89393567834604	-4366.4632092428465	15.175139416005425	65.15184292037253	19.486860353604126	8.972403697950776	15.88295861386126	5.857000036532688	4.0	6.0	6.0	1.0	3.0	11.12876473408297	0.6119754513228715	0.5182939938489293	1.869730554828197	0.0021186855211634405	-1234.7617087681526	-1193.6068828095952	-1938.0946176650987	-68.52547391810639
50000	-4455.631483992943	-88.17718669450792	-4367.4542972984345	16.718588604230757	106.86937872210689	22.813906969991546	6.894800611227893	2.7125315481169228	7.7094563574651085	1.0	7.0	7.0	1.0	4.0	11.12876473408297	0.6108663476699174	0.5695109249078493	1.8196227274222312	0.001981475951459781	-1235.4447181803719	-1195.0416448898957	-1936.9679342281665	-64.83929204068961
51000	-4452.742376415269	-84.92755108510923	-4367.81482533016	15.26609170776103	53.17566676539411	20.532446934852548	6.35514989538708	2.9731292491469943	5.996463480055301	4.0	2.0	2.0	1.0	11.0	11.269503159415159	0.535254980543298	0.6275419705991088	1.8372030488575912	0.0023073589165722463	-1236.6296960520144	-1198.2439642444974	-1932.9411650336476	-63.62776349080285
52000	-4453.743973312536	-88.02508133599545	-4365.71889197654	15.04683206007324	41.34081624500494	35.26023060405171	10.238965653086645	7.010615661443039	6.521228814121563	2.0	2.0	1.0	1.0	14.0	11.269503159415159	0.6309703077157798	0.6713998279240965	1.6976298643601218	0.0020727561281726806	-1232.4184003830671	-1196.4756029722344	-1936.8248886212389	-65.77546688449723
53000	-4454.832835022605	-87.0024340713575	-4367.830400951248	13.510287192109969	517.4278723116475	53.4085517964471	10.052316507632586	4.047144725263917	3.8979212889820922	2.0	2.0	1.0	5.0	10.0	11.063750794150042	0.5507357159681969	0.5106345212840586	1.9386297627477425	0.002252367469448822	-1237.745110312841	-1196.4712991728973	-1933.6139914655098	-60.987484059354195
54000	-4460.979063903451	-84.36324575168918	-4376.615818151762	13.48578351121704	239.68160892772966	104.07469087740351	7.5873506760951885	4.517820041355509	2.164357402652255	1.0	3.0	7.0	1.0	8.0	11.063750794150042	0.58371295741245	0.6257386857975988	1.7905483567899494	0.0022406128163694485	-1234.722561773981	-1196.4229359328922	-1945.4703204448883	-59.46711383343431
55000	-4456.427662570797	-82.82874116328287	-4373.598921407514	11.842805347262484	38.34993356516953	18.148627679814478	11.484104069105435	3.9689557513495064	4.299108861091316	1.0	1.0	9.0	3.0	6.0	9.454692534825117	0.6813959948982415	0.4537368431015991	1.8648671620001576	0.002731941168373828	-1234.7123591840966	-1193.6522830835208	-1945.2342791398974	-62.396561116431215
56000	-4440.545539421836	-75.02742990246489	-4365.518109519371	12.79734075873323	45.220178843471174	7.746307546546547	8.038475250403193	2.2414455985914623	1.0959307468580897	2.0	3.0	9.0	1.0	5.0	9.454692534825117	0.6528702989489146	0.5496038701733226	1.7975258308777606	0.0027714951961846173	-1236.9061639984884	-1192.6296238426182	-1935.9823216782645	-56.60316228882249
57000	-4443.86511102627	-76.6190366127548	-4367.246074413515	12.270888339558077	44.7539647323824	8.770066754802498	5.659939016473112	3.1725429400227534	3.661963606119418	2.0	3.0	11.0	2.0	2.0	7.561953434062893	0.6464211967973956	0.5297348589088395	1.8238439442937628	0.002711031231539066	-1234.3915719115064	-1192.6353257347357	-1940.2191767672725	-57.90107428964787
58000	-4443.6579917151375	-78.69210162155785	-4364.96589009358	10.774092735018792	55.17619698114072	9.037029094914997	10.286580262158308	3.7467301347614694	1.5340537675670387	2.0	4.0	8.0	2.0	4.0	10.693545451714403	0.6672281728273868	0.5885333342895818	1.7442384928830295	0.0031960280585868043	-1233.0859467756384	-1190.504145789468	-1941.3757975284736	-58.630241262915646
59000	-4443.736582276293	-75.93802906262708	-4367.798553213666	10.621356770147424	32.319415862928096	16.763531094299427	9.909394040676563	7.090352991350524	2.4654250372305935	3.0	1.0	7.0	1.0	8.0	10.789989142957682	0.5710850768741598	0.6116719437256205	1.8172429794002178	0.003212148713846133	-1231.030922117369	-1191.7896419812876	-1944.9779891150101	-55.61333428129456
60000	-4444.700738290775	-81.68069551650046	-4363.020042774275	12.739534472135212	140.5516116464938	9.660900852532997	11.503845417012883	11.045644819861916	3.4371449674840155	2.0	2.0	3.0	6.0	7.0	10.789989142957682	0.6530491641314957	0.6298886044339882	1.7170622314345145	0.0029921684283614257	-1233.6915569920432	-1193.8235511189791	-1935.5049346632518	-58.017006831874184
61000	-4444.039987073753	-80.02950817056012	-4364.010478903193	12.1212194763088	184.23495775667607	14.46607601814436	24.857725141955743	8.505497931755714	2.178209949682651	2.0	4.0	1.0	6.0	7.0	10.789989142957682	0.6041714585723779	0.5741894590620709	1.8216390823655497	0.003259671827330439	-1232.5094895474163	-1194.0108092550834	-1937.4901801006938	-55.04737982039026
62000	-4442.241426197326	-73.40624950862976	-4368.835176688696	12.380974294652479	96.50185965530771	7.144453248776205	5.414472584657314	3.5131178156885423	1.5984002423016488	2.0	6.0	5.0	2.0	5.0	10.789989142957682	0.5316414503482871	0.5881960482393835	1.8801625014123278	0.003020955119217231	-1233.269304132295	-1191.1654424148055	-1944.4004301415957	-53.29060957921891
63000	-4440.5194723672985	-71.58518458301704	-4368.934287784282	9.986199650738257	18.870624357549918	11.979482077617257	5.839510308686665	2.6926126080149193	1.6364306876048185	2.0	4.0	5.0	2.0	7.0	7.327421880118874	0.5616049434079604	0.5582325551797103	1.8801625014123278	0.003131521349984836	-1232.3326977564386	-1191.2558094207318	-1945.3457806071115	-54.83211818764393
64000	-4439.343789779578	-75.36481302041723	-4363.978976759161	10.326210062521387	116.34301850077699	32.078483031572496	4.177391776316	1.4305937672896343	1.7032719960977902	3.0	5.0	7.0	3.0	2.0	7.327421880118874	0.6015242136987262	0.5772978551560894	1.821177931145183	0.00375782413594667	-1234.418814856082	-1194.060047074354	-1935.5001148287251	-55.20838428924886
65000	-4435.217452820831	-67.83604132761758	-4367.381411493213	9.776204566069683	84.80134777603148	40.77405926276682	3.4389462434419924	1.6037781142858052	0.9282398072211697	2.0	2.0	7.0	1.0	8.0	7.327421880118874	0.6936608409570946	0.5785479630935015	1.7277911959494026	0.004179776232009729	-1237.1932909867169	-1194.681169974234	-1935.5069505322615	-48.48117699138851
66000	-4438.39858481279	-69.05591273586866	-4369.342672076922	10.221159637653583	17.949566849949736	20.777718246786705	6.740683866499496	0.9655015806907251	1.9313024863272403	3.0	2.0	11.0	3.0	1.0	11.040179130993796	0.5901683793272847	0.5512320288844175	1.8585995917882965	0.004179172573446073	-1234.7577637915867	-1193.3375048131516	-1941.2474034721838	-50.57611583241578
67000	-4432.347247833042	-63.88951738593582	-4368.457730447107	9.14987524338208	31.4956049024581	11.191064642204646	3.2129845837239115	1.41401979802919	0.3084297167808595	2.0	4.0	8.0	4.0	2.0	11.040179130993796	0.5918367948462425	0.5429301518275077	1.8652330533262484	0.0039987629392085975	-1235.7808719776347	-1192.3088712413642	-1940.3679872281082	-47.58822157750453
68000	-4434.2342322763925	-65.04859990263444	-4369.185632373758	9.650328057245504	47.906797552094005	3.2378956900906535	4.168308823494783	1.1275693772306619	2.240357961999625	1.0	4.0	8.0	6.0	1.0	11.040179130993796	0.6050569014091807	0.6283315772379823	1.766611521352836	0.0037487553820913927	-1235.2228871196196	-1190.7780411405295	-1943.1847041136093	-46.80304158151618
69000	-4431.810364913617	-65.92070068794382	-4365.889664225673	9.582123722872604	52.39686854337198	38.77919189698408	6.242781034819768	2.419003400521268	0.33489721455819255	1.0	2.0	8.0	6.0	3.0	7.03640262814226	0.641970214070679	0.5386325671111528	1.819397218818167	0.004005715562297926	-1234.432632329487	-1188.0225992199887	-1943.434432676197	-46.82067500061519
70000	-4434.943732955514	-66.79521732571268	-4368.148515629801	9.313758765549103	69.55237045403497	58.78291382913706	3.7496053139492886	0.6856218448039282	1.1508274509613177	2.0	1.0	11.0	2.0	4.0	10.911095589564546	0.5914903713934727	0.6389348831762423	1.769574745430284	0.004226364615273101	-1231.376061550407	-1191.884633911564	-1944.8878201678301	-46.372729913835904
