time,mean,median,hpd lower 95,hpd upper 95,bins
0.0,1.5169401072377466,1.3115037409176145,0.18850387896595563,3.4046822650186597,6362
8.621593628711345E-4,1.4379517570274065,1.2354872996359976,0.19694352525450814,3.080818081347007,6419
0.0017171282550795162,1.3572232296771507,1.1700491411039886,0.27003803213638466,2.9613875972588417,6770
0.002474437264057474,1.2859356852168293,1.1118699636555704,0.26149807536355246,2.8078958620746457,8136
0.0032313451329247242,1.2153887881671483,1.0511796020191522,0.22624778694750874,2.6125990193917827,10113
0.003962040152534955,1.1475639333042096,0.9876954238023659,0.20910133046973703,2.4728542619293936,11742
0.004674224849776797,1.0816623719487335,0.9284270474625671,0.1868012565666942,2.3412719188385505,13125
0.0053391611103943476,1.0203063036364846,0.8704303644665085,0.13109733371668114,2.2077133745941975,13716
0.006007417776087685,0.9588852530459059,0.8252598233663618,0.06327125669195165,2.0828258225547382,13620
0.006617786012746326,0.9032799776952892,0.7768726970863447,0.03930765972484462,1.9697996905217665,12861
0.0072242395516245155,0.8479737518811434,0.7300961640460799,0.030937813053436698,1.8864582959945684,11600
0.007788328127855338,0.7979363555123127,0.6859795208908581,0.028978962738232313,1.8334420936920848,10143
0.008332154921582612,0.7510829273273105,0.6484655349928948,0.02757266443374321,1.7373537376110817,8643
0.008867750538363563,0.7065217201312892,0.6076171785439396,0.0261876513809502,1.670181782755687,7756
0.009372297002175437,0.6662982676288601,0.5670857733569006,0.0297669170564979,1.606488737200728,6388
0.009862800799770284,0.6287563645999785,0.5283922804917384,0.030636396932744954,1.551086032438732,5504
0.010347215695523302,0.5932682224311395,0.4931879570353508,0.022843863838073703,1.4645407772947885,4753
0.010784032912389786,0.5624135335849273,0.46499716470810265,0.028595500298934092,1.4351790565691886,4131
0.011230647108450243,0.5321084214931788,0.43643609227036795,0.028595500298934092,1.3682208137527567,3543
0.011628217150612243,0.5062147882092892,0.4129318052212154,0.028595500298934092,1.31317906338597,3060
0.012021722326463815,0.48143000561060345,0.3841648931806018,0.021140650762193573,1.2693562398909954,2654
0.012399254575242604,0.45854533324442615,0.35676413235173376,0.021140650762193573,1.2282249682671704,2386
0.012790536260134235,0.4358308752111738,0.3321385789885582,0.02685575807859336,1.1929894167987778,2036
0.013127593279030047,0.41700926190979165,0.3082136098552253,0.018229073921772705,1.157638273655252,1932
0.013465976431563597,0.3979230020187913,0.291270501600736,0.018344563747893047,1.1266029169858458,1684
0.013797501463252993,0.3795598674791097,0.2677452797509867,0.015743349986748416,1.0805590401039806,1578
0.014122499891802627,0.362566274388117,0.24937279289262948,0.011514535785759101,1.0244142698397274,1423
0.0144452658464363,0.34643283494399413,0.22989149167492123,0.011514535785759101,0.9895114008312716,1258
0.014746731475071717,0.33235777602919647,0.21000006774134286,0.011514535785759101,0.9726890713436435,1171
